id,price,rooms,bathrooms,square_meters,zone,city,price_per_m2
1,72000,5,1,137,Buenos Aires Interior,Lujan,526
2,90000,3,1,112,Buenos Aires Interior,Lujan,804
3,115000,4,3,170,Buenos Aires Interior,Lujan,676
4,148000,5,2,140,Buenos Aires Interior,Lujan,1057
5,160000,4,2,210,Buenos Aires Interior,Lujan,762
6,175000,4,3,900,Buenos Aires Interior,Lujan,194
7,175000,4,2,164,Buenos Aires Interior,Lujan,1067
8,197000,4,2,180,Buenos Aires Interior,Lujan,1094
9,199000,5,4,176,Buenos Aires Interior,Lujan,1131
10,202000,3,2,155,Buenos Aires Interior,Lujan,1303
11,205000,5,2,143,Buenos Aires Interior,Lujan,1434
12,220000,4,3,167,Buenos Aires Interior,Lujan,1317
13,235000,5,4,181,Buenos Aires Interior,Lujan,1298
14,235000,5,3,190,Buenos Aires Interior,Lujan,1237
15,238000,4,2,154,Buenos Aires Interior,Lujan,1545
16,240000,4,2,154,Buenos Aires Interior,Lujan,1558
17,240000,4,2,168,Buenos Aires Interior,Lujan,1429
18,249000,5,3,200,Buenos Aires Interior,Lujan,1245
19,250000,5,3,176,Buenos Aires Interior,Lujan,1420
20,255000,5,2,300,Buenos Aires Interior,Lujan,850
21,260000,5,2,271,Buenos Aires Interior,Lujan,959
22,270000,4,3,390,Buenos Aires Interior,Lujan,692
23,279000,8,5,309,Buenos Aires Interior,Lujan,903
24,280000,5,2,169,Buenos Aires Interior,Lujan,1657
25,285000,4,3,216,Buenos Aires Interior,Lujan,1319
26,290000,5,3,134,Buenos Aires Interior,Lujan,2164
27,295000,4,2,185,Buenos Aires Interior,Lujan,1595
28,295000,5,3,185,Buenos Aires Interior,Lujan,1595
29,310000,6,3,400,Buenos Aires Interior,Lujan,775
30,320000,5,3,206,Buenos Aires Interior,Lujan,1553
31,338000,5,3,212,Buenos Aires Interior,Lujan,1594
32,345000,5,4,302,Buenos Aires Interior,Lujan,1142
33,350000,6,2,257,Buenos Aires Interior,Lujan,1362
34,350000,5,3,257,Buenos Aires Interior,Lujan,1362
35,365000,5,3,225,Buenos Aires Interior,Lujan,1622
36,390000,6,4,282,Buenos Aires Interior,Lujan,1383
37,395000,8,5,479,Buenos Aires Interior,Lujan,825
38,545000,5,5,280,Buenos Aires Interior,Lujan,1946
39,550000,5,2,277,Buenos Aires Interior,Lujan,1986
40,650000,7,5,500,Buenos Aires Interior,Lujan,1300
41,690000,6,4,460,Buenos Aires Interior,Lujan,1500
42,880000,7,6,385,Buenos Aires Interior,Lujan,2286
43,78000,3,2,130,Buenos Aires Interior,San Vicente,600
44,135000,6,2,150,Buenos Aires Interior,San Vicente,900
45,180000,4,2,124,Buenos Aires Interior,San Vicente,1452
46,195000,5,2,170,Buenos Aires Interior,San Vicente,1147
47,209000,4,2,175,Buenos Aires Interior,San Vicente,1194
48,219000,4,3,195,Buenos Aires Interior,San Vicente,1123
49,219000,4,2,152,Buenos Aires Interior,San Vicente,1441
50,222900,4,3,173,Buenos Aires Interior,San Vicente,1288
51,229000,4,3,195,Buenos Aires Interior,San Vicente,1174
52,230000,4,3,211,Buenos Aires Interior,San Vicente,1090
53,244900,4,2,165,Buenos Aires Interior,San Vicente,1484
54,245000,5,3,170,Buenos Aires Interior,San Vicente,1441
55,250000,5,2,177,Buenos Aires Interior,San Vicente,1412
56,254000,3,2,180,Buenos Aires Interior,San Vicente,1411
57,254000,3,2,180,Buenos Aires Interior,San Vicente,1411
58,264999,5,4,182,Buenos Aires Interior,San Vicente,1456
59,266000,5,3,228,Buenos Aires Interior,San Vicente,1167
60,269000,5,3,190,Buenos Aires Interior,San Vicente,1416
61,275000,6,2,200,Buenos Aires Interior,San Vicente,1375
62,279000,4,2,157,Buenos Aires Interior,San Vicente,1777
63,279000,4,2,168,Buenos Aires Interior,San Vicente,1661
64,280000,6,2,203,Buenos Aires Interior,San Vicente,1379
65,280000,4,2,880,Buenos Aires Interior,San Vicente,318
66,289999,5,4,182,Buenos Aires Interior,San Vicente,1593
67,300000,5,4,180,Buenos Aires Interior,San Vicente,1667
68,315000,5,4,191,Buenos Aires Interior,San Vicente,1649
69,319999,4,4,240,Buenos Aires Interior,San Vicente,1333
70,320000,5,3,300,Buenos Aires Interior,San Vicente,1067
71,325000,4,3,265,Buenos Aires Interior,San Vicente,1226
72,335000,6,2,177,Buenos Aires Interior,San Vicente,1893
73,349000,5,4,230,Buenos Aires Interior,San Vicente,1517
74,365000,5,4,300,Buenos Aires Interior,San Vicente,1217
75,389000,5,3,190,Buenos Aires Interior,San Vicente,2047
76,435000,5,3,290,Buenos Aires Interior,San Vicente,1500
77,450000,7,2,335,Buenos Aires Interior,San Vicente,1343
78,465000,6,3,214,Buenos Aires Interior,San Vicente,2173
79,489000,5,3,375,Buenos Aires Interior,San Vicente,1304
80,490000,5,4,335,Buenos Aires Interior,San Vicente,1463
81,545000,5,4,457,Buenos Aires Interior,San Vicente,1193
82,585000,6,4,330,Buenos Aires Interior,San Vicente,1773
83,595000,9,7,530,Buenos Aires Interior,San Vicente,1123
84,650000,7,7,606,Buenos Aires Interior,San Vicente,1073
85,749000,6,4,552,Buenos Aires Interior,San Vicente,1357
86,750000,6,4,460,Buenos Aires Interior,San Vicente,1630
87,160000,4,2,123,Costa Atlántica,Costa Esmeralda,1301
88,165000,4,2,140,Costa Atlántica,Costa Esmeralda,1179
89,170000,4,2,120,Costa Atlántica,Costa Esmeralda,1417
90,175000,3,2,144,Costa Atlántica,Costa Esmeralda,1215
91,195000,6,3,144,Costa Atlántica,Costa Esmeralda,1354
92,199000,4,2,148,Costa Atlántica,Costa Esmeralda,1345
93,218000,4,3,134,Costa Atlántica,Costa Esmeralda,1627
94,220000,4,3,166,Costa Atlántica,Costa Esmeralda,1325
95,220000,5,2,185,Costa Atlántica,Costa Esmeralda,1189
96,230000,5,2,158,Costa Atlántica,Costa Esmeralda,1456
97,240000,4,2,128,Costa Atlántica,Costa Esmeralda,1875
98,250000,4,2,140,Costa Atlántica,Costa Esmeralda,1786
99,255000,6,3,180,Costa Atlántica,Costa Esmeralda,1417
100,280000,5,2,160,Costa Atlántica,Costa Esmeralda,1750
101,280000,6,3,160,Costa Atlántica,Costa Esmeralda,1750
102,295000,5,3,170,Costa Atlántica,Costa Esmeralda,1735
103,320000,5,3,205,Costa Atlántica,Costa Esmeralda,1561
104,330000,5,3,220,Costa Atlántica,Costa Esmeralda,1500
105,330000,6,5,294,Costa Atlántica,Costa Esmeralda,1122
106,330000,5,3,160,Costa Atlántica,Costa Esmeralda,2062
107,334000,4,3,190,Costa Atlántica,Costa Esmeralda,1758
108,335000,5,4,186,Costa Atlántica,Costa Esmeralda,1801
109,350000,4,3,185,Costa Atlántica,Costa Esmeralda,1892
110,350000,4,3,160,Costa Atlántica,Costa Esmeralda,2188
111,350000,5,3,180,Costa Atlántica,Costa Esmeralda,1944
112,398000,6,3,284,Costa Atlántica,Costa Esmeralda,1401
113,405000,6,4,231,Costa Atlántica,Costa Esmeralda,1753
114,470000,7,3,250,Costa Atlántica,Costa Esmeralda,1880
115,480000,5,3,237,Costa Atlántica,Costa Esmeralda,2025
116,550000,5,4,213,Costa Atlántica,Costa Esmeralda,2582
117,599000,6,6,316,Costa Atlántica,Costa Esmeralda,1896
118,600000,6,4,250,Costa Atlántica,Costa Esmeralda,2400
119,600000,6,4,250,Costa Atlántica,Costa Esmeralda,2400
120,660000,4,2,260,Costa Atlántica,Costa Esmeralda,2538
121,850000,5,3,350,Costa Atlántica,Costa Esmeralda,2429
122,32000,1,1,34,Costa Atlántica,Mar de Ajo,941
123,34000,3,1,62,Costa Atlántica,Mar de Ajo,548
124,37000,2,1,50,Costa Atlántica,Mar de Ajo,740
125,37000,2,1,37,Costa Atlántica,Mar de Ajo,1000
126,37000,3,1,69,Costa Atlántica,Mar de Ajo,536
127,37000,2,1,30,Costa Atlántica,Mar de Ajo,1233
128,41500,3,1,36,Costa Atlántica,Mar de Ajo,1153
129,45000,3,2,49,Costa Atlántica,Mar de Ajo,918
130,50000,4,2,300,Costa Atlántica,Mar de Ajo,167
131,52000,3,2,70,Costa Atlántica,Mar de Ajo,743
132,60000,4,3,120,Costa Atlántica,Mar de Ajo,500
133,60000,3,1,67,Costa Atlántica,Mar de Ajo,896
134,64000,3,2,82,Costa Atlántica,Mar de Ajo,780
135,65000,4,2,70,Costa Atlántica,Mar de Ajo,929
136,65000,3,2,80,Costa Atlántica,Mar de Ajo,812
137,65000,4,2,50,Costa Atlántica,Mar de Ajo,1300
138,68000,5,2,70,Costa Atlántica,Mar de Ajo,971
139,70000,2,3,50,Costa Atlántica,Mar de Ajo,1400
140,72000,2,2,60,Costa Atlántica,Mar de Ajo,1200
141,77000,5,2,110,Costa Atlántica,Mar de Ajo,700
142,80000,4,2,52,Costa Atlántica,Mar de Ajo,1538
143,82000,4,1,134,Costa Atlántica,Mar de Ajo,612
144,85000,2,2,150,Costa Atlántica,Mar de Ajo,567
145,90000,3,2,90,Costa Atlántica,Mar de Ajo,1000
146,98000,4,2,78,Costa Atlántica,Mar de Ajo,1256
147,98000,4,2,78,Costa Atlántica,Mar de Ajo,1256
148,98500,4,2,80,Costa Atlántica,Mar de Ajo,1231
149,99000,3,1,68,Costa Atlántica,Mar de Ajo,1456
150,99000,3,1,50,Costa Atlántica,Mar de Ajo,1980
151,110000,6,4,390,Costa Atlántica,Mar de Ajo,282
152,121500,4,2,90,Costa Atlántica,Mar de Ajo,1350
153,145000,4,3,106,Costa Atlántica,Mar de Ajo,1368
154,160000,4,2,161,Costa Atlántica,Mar de Ajo,994
155,168000,8,3,270,Costa Atlántica,Mar de Ajo,622
156,175000,3,3,106,Costa Atlántica,Mar de Ajo,1651
157,190000,3,1,300,Costa Atlántica,Mar de Ajo,633
158,210000,7,2,114,Costa Atlántica,Mar de Ajo,1842
159,310000,5,3,254,Costa Atlántica,Mar de Ajo,1220
160,380000,5,4,386,Costa Atlántica,Mar de Ajo,984
161,42000,3,1,85,Costa Atlántica,Mar del Plata,494
162,49000,3,1,158,Costa Atlántica,Mar del Plata,310
163,78900,3,2,56,Costa Atlántica,Mar del Plata,1409
164,94900,3,1,118,Costa Atlántica,Mar del Plata,804
165,95000,5,1,90,Costa Atlántica,Mar del Plata,1056
166,95000,3,2,103,Costa Atlántica,Mar del Plata,922
167,110000,4,2,158,Costa Atlántica,Mar del Plata,696
168,110000,3,2,203,Costa Atlántica,Mar del Plata,542
169,120000,3,2,87,Costa Atlántica,Mar del Plata,1379
170,125000,2,2,98,Costa Atlántica,Mar del Plata,1276
171,129000,4,2,90,Costa Atlántica,Mar del Plata,1433
172,135000,5,2,140,Costa Atlántica,Mar del Plata,964
173,138000,4,2,150,Costa Atlántica,Mar del Plata,920
174,139000,2,2,82,Costa Atlántica,Mar del Plata,1695
175,155000,4,3,130,Costa Atlántica,Mar del Plata,1192
176,160000,7,3,230,Costa Atlántica,Mar del Plata,696
177,175000,4,1,150,Costa Atlántica,Mar del Plata,1167
178,180000,3,1,106,Costa Atlántica,Mar del Plata,1698
179,189000,3,2,99,Costa Atlántica,Mar del Plata,1909
180,190000,6,4,157,Costa Atlántica,Mar del Plata,1210
181,195000,4,2,217,Costa Atlántica,Mar del Plata,899
182,200000,5,2,455,Costa Atlántica,Mar del Plata,440
183,205000,5,3,156,Costa Atlántica,Mar del Plata,1314
184,210000,5,3,185,Costa Atlántica,Mar del Plata,1135
185,217000,5,2,213,Costa Atlántica,Mar del Plata,1019
186,220000,5,3,251,Costa Atlántica,Mar del Plata,876
187,235000,5,3,290,Costa Atlántica,Mar del Plata,810
188,240000,6,3,233,Costa Atlántica,Mar del Plata,1030
189,245000,4,2,158,Costa Atlántica,Mar del Plata,1551
190,264900,5,4,230,Costa Atlántica,Mar del Plata,1152
191,269000,5,2,165,Costa Atlántica,Mar del Plata,1630
192,270000,3,3,300,Costa Atlántica,Mar del Plata,900
193,280000,4,2,160,Costa Atlántica,Mar del Plata,1750
194,289000,4,3,175,Costa Atlántica,Mar del Plata,1651
195,289900,5,3,248,Costa Atlántica,Mar del Plata,1169
196,295000,3,2,170,Costa Atlántica,Mar del Plata,1735
197,349000,4,3,262,Costa Atlántica,Mar del Plata,1332
198,350000,3,3,98,Costa Atlántica,Mar del Plata,3571
199,359900,4,2,180,Costa Atlántica,Mar del Plata,1999
200,380000,4,2,185,Costa Atlántica,Mar del Plata,2054
201,380000,4,1,220,Costa Atlántica,Mar del Plata,1727
202,385000,5,3,185,Costa Atlántica,Mar del Plata,2081
203,420000,5,4,280,Costa Atlántica,Mar del Plata,1500
204,425000,5,2,300,Costa Atlántica,Mar del Plata,1417
205,495000,5,3,244,Costa Atlántica,Mar del Plata,2029
206,500000,8,6,408,Costa Atlántica,Mar del Plata,1225
207,680000,5,3,350,Costa Atlántica,Mar del Plata,1943
208,25000,3,1,50,Costa Atlántica,Mar del Tuyu,500
209,30000,4,2,50,Costa Atlántica,Mar del Tuyu,600
210,30000,3,1,50,Costa Atlántica,Mar del Tuyu,600
211,31000,3,1,50,Costa Atlántica,Mar del Tuyu,620
212,32000,3,1,70,Costa Atlántica,Mar del Tuyu,457
213,32000,3,1,70,Costa Atlántica,Mar del Tuyu,457
214,32000,4,1,50,Costa Atlántica,Mar del Tuyu,640
215,32500,3,1,70,Costa Atlántica,Mar del Tuyu,464
216,33000,3,1,37,Costa Atlántica,Mar del Tuyu,892
217,35000,3,1,45,Costa Atlántica,Mar del Tuyu,778
218,35000,3,1,50,Costa Atlántica,Mar del Tuyu,700
219,35000,3,1,90,Costa Atlántica,Mar del Tuyu,389
220,35000,3,2,65,Costa Atlántica,Mar del Tuyu,538
221,36000,3,1,45,Costa Atlántica,Mar del Tuyu,800
222,37500,3,1,60,Costa Atlántica,Mar del Tuyu,625
223,38000,3,1,65,Costa Atlántica,Mar del Tuyu,585
224,38000,3,1,70,Costa Atlántica,Mar del Tuyu,543
225,38000,3,1,70,Costa Atlántica,Mar del Tuyu,543
226,38500,3,1,70,Costa Atlántica,Mar del Tuyu,550
227,39500,3,1,65,Costa Atlántica,Mar del Tuyu,608
228,39999,4,2,65,Costa Atlántica,Mar del Tuyu,615
229,40000,3,2,60,Costa Atlántica,Mar del Tuyu,667
230,40000,3,2,66,Costa Atlántica,Mar del Tuyu,606
231,40000,4,2,55,Costa Atlántica,Mar del Tuyu,727
232,40000,4,2,50,Costa Atlántica,Mar del Tuyu,800
233,43000,4,2,35,Costa Atlántica,Mar del Tuyu,1229
234,43000,4,2,50,Costa Atlántica,Mar del Tuyu,860
235,43900,4,1,65,Costa Atlántica,Mar del Tuyu,675
236,48000,3,2,58,Costa Atlántica,Mar del Tuyu,828
237,48000,3,1,110,Costa Atlántica,Mar del Tuyu,436
238,53000,5,3,45,Costa Atlántica,Mar del Tuyu,1178
239,55000,4,2,90,Costa Atlántica,Mar del Tuyu,611
240,55000,3,1,71,Costa Atlántica,Mar del Tuyu,775
241,55000,4,2,45,Costa Atlántica,Mar del Tuyu,1222
242,55000,4,2,50,Costa Atlántica,Mar del Tuyu,1100
243,57000,3,1,60,Costa Atlántica,Mar del Tuyu,950
244,57000,3,1,81,Costa Atlántica,Mar del Tuyu,704
245,59000,4,2,50,Costa Atlántica,Mar del Tuyu,1180
246,59500,4,2,65,Costa Atlántica,Mar del Tuyu,915
247,63000,4,2,100,Costa Atlántica,Mar del Tuyu,630
248,65000,5,2,60,Costa Atlántica,Mar del Tuyu,1083
249,74000,3,2,80,Costa Atlántica,Mar del Tuyu,925
250,75000,4,2,70,Costa Atlántica,Mar del Tuyu,1071
251,98000,2,1,60,Costa Atlántica,Mar del Tuyu,1633
252,120000,5,3,170,Costa Atlántica,Mar del Tuyu,706
253,140000,4,2,138,Costa Atlántica,Mar del Tuyu,1014
254,200000,5,2,55,Costa Atlántica,Mar del Tuyu,3636
255,94900,3,1,80,Costa Atlántica,Pinamar,1186
256,120000,4,2,53,Costa Atlántica,Pinamar,2264
257,150000,5,3,140,Costa Atlántica,Pinamar,1071
258,165000,4,2,120,Costa Atlántica,Pinamar,1375
259,204000,5,3,204,Costa Atlántica,Pinamar,1000
260,205000,4,4,100,Costa Atlántica,Pinamar,2050
261,208000,5,4,215,Costa Atlántica,Pinamar,967
262,215000,5,2,215,Costa Atlántica,Pinamar,1000
263,225000,3,1,74,Costa Atlántica,Pinamar,3041
264,230000,5,2,204,Costa Atlántica,Pinamar,1127
265,239000,5,3,230,Costa Atlántica,Pinamar,1039
266,264000,5,4,270,Costa Atlántica,Pinamar,978
267,265000,5,3,333,Costa Atlántica,Pinamar,796
268,268000,4,2,114,Costa Atlántica,Pinamar,2351
269,269000,5,4,185,Costa Atlántica,Pinamar,1454
270,276000,6,3,235,Costa Atlántica,Pinamar,1174
271,295000,5,3,188,Costa Atlántica,Pinamar,1569
272,295000,4,3,168,Costa Atlántica,Pinamar,1756
273,325000,4,2,189,Costa Atlántica,Pinamar,1720
274,335000,4,3,200,Costa Atlántica,Pinamar,1675
275,340000,4,2,100,Costa Atlántica,Pinamar,3400
276,365000,5,2,170,Costa Atlántica,Pinamar,2147
277,380000,6,3,350,Costa Atlántica,Pinamar,1086
278,395000,7,5,292,Costa Atlántica,Pinamar,1353
279,398000,4,2,155,Costa Atlántica,Pinamar,2568
280,400000,4,3,200,Costa Atlántica,Pinamar,2000
281,420000,4,4,300,Costa Atlántica,Pinamar,1400
282,420000,4,2,210,Costa Atlántica,Pinamar,2000
283,420000,5,2,240,Costa Atlántica,Pinamar,1750
284,429000,5,3,230,Costa Atlántica,Pinamar,1865
285,445000,4,3,235,Costa Atlántica,Pinamar,1894
286,445000,5,3,250,Costa Atlántica,Pinamar,1780
287,450000,4,2,250,Costa Atlántica,Pinamar,1800
288,460000,7,3,215,Costa Atlántica,Pinamar,2140
289,470000,5,3,295,Costa Atlántica,Pinamar,1593
290,470000,5,3,227,Costa Atlántica,Pinamar,2070
291,490000,5,5,380,Costa Atlántica,Pinamar,1289
292,549000,8,4,515,Costa Atlántica,Pinamar,1066
293,550000,5,3,330,Costa Atlántica,Pinamar,1667
294,570000,6,4,269,Costa Atlántica,Pinamar,2119
295,645000,8,3,350,Costa Atlántica,Pinamar,1843
296,890000,6,4,400,Costa Atlántica,Pinamar,2225
297,950000,5,3,449,Costa Atlántica,Pinamar,2116
298,1050000,6,5,497,Costa Atlántica,Pinamar,2113
299,1250000,5,3,350,Costa Atlántica,Pinamar,3571
300,40000,4,2,70,Costa Atlántica,Villa Gesell,571
301,45000,5,2,106,Costa Atlántica,Villa Gesell,425
302,55000,3,2,36,Costa Atlántica,Villa Gesell,1528
303,55000,4,1,50,Costa Atlántica,Villa Gesell,1100
304,62000,4,1,58,Costa Atlántica,Villa Gesell,1069
305,62000,3,1,67,Costa Atlántica,Villa Gesell,925
306,64999,4,2,80,Costa Atlántica,Villa Gesell,812
307,65000,4,1,61,Costa Atlántica,Villa Gesell,1066
308,65000,3,1,86,Costa Atlántica,Villa Gesell,756
309,67000,3,1,70,Costa Atlántica,Villa Gesell,957
310,68000,4,1,70,Costa Atlántica,Villa Gesell,971
