titulo,precio,ambientes,banos,metros,zona,ciudad,fecha_scraping,precio_m2
Casa En Venta | Centro De Lujan,90000,3,1,112,Buenos Aires Interior,Lujan,2025-12-17,804
Casa 4 Ambientes En Venta En Lujan Pileta Parque,115000,4,3,170,Buenos Aires Interior,Lujan,2025-12-17,676
Casa En Alquiler En Las Praderas De Lujan,148000,5,2,140,Buenos Aires Interior,Lujan,2025-12-17,1057
Casa En Venta | 3 Dormitorios   Playroom | Local Independiente | Pileta | Luján,160000,4,2,210,Buenos Aires Interior,Lujan,2025-12-17,762
Casa En Venta  Luján  Barrio Privado Los Juncos,175000,4,3,900,Buenos Aires Interior,Lujan,2025-12-17,194
"Casa En Venta En Los Juncos, Luján",175000,4,2,164,Buenos Aires Interior,Lujan,2025-12-17,1067
Casa 4 Ambientes En Venta En La Asunción Luján,197000,4,2,180,Buenos Aires Interior,Lujan,2025-12-17,1094
"Casa En Venta Uf 325. B° Santa Inés, Comarcas De Luján. Zona Oeste Oportunidad",199000,5,4,176,Buenos Aires Interior,Lujan,2025-12-17,1131
"Casa En Venta. Uf 127. Barrio La Elina, Comarcas De Luján.",205000,5,2,143,Buenos Aires Interior,Lujan,2025-12-17,1434
Casa En Venta En San Roque,220000,4,3,167,Buenos Aires Interior,Lujan,2025-12-17,1317
Casa 5 Ambientes En Comarcas De Luján San Roque,235000,5,4,181,Buenos Aires Interior,Lujan,2025-12-17,1298
"Casa En Venta. Uf 179. Barrio San Roque, Comarcas De Luján.",235000,5,3,190,Buenos Aires Interior,Lujan,2025-12-17,1237
"Casa En Venta. Uf 89. Barrio San Roque, Comarcas De Luján.",240000,4,2,154,Buenos Aires Interior,Lujan,2025-12-17,1558
"Casa En Venta. Uf 137. Barrio Santa Irene, Comarcas De Luján.",240000,4,2,168,Buenos Aires Interior,Lujan,2025-12-17,1429
Club De Campo Santa Catalina: Espectacular Casa A Estrenar Sobre Lote En Esquina,249000,5,3,200,Buenos Aires Interior,Lujan,2025-12-17,1245
Casa En Venta En Country Las Praderas,250000,3,3,160,Buenos Aires Interior,Lujan,2025-12-17,1562
Casa En Venta En Carlos Keen La Catalina,250000,5,3,176,Buenos Aires Interior,Lujan,2025-12-17,1420
Chacra En Venta Estancia Las Lilas,255000,5,2,300,Buenos Aires Interior,Lujan,2025-12-17,850
"Casa De 3 Dorm En Arroyo Dulce | Terreno Grande, Arboleda Y Diseño",260000,5,2,271,Buenos Aires Interior,Lujan,2025-12-17,959
Venta Casa 4 Ambientes  La Concepción Con Pileta,270000,4,3,390,Buenos Aires Interior,Lujan,2025-12-17,692
Casa En Las Praderas De Lujan,279000,8,5,309,Buenos Aires Interior,Lujan,2025-12-17,903
Venta Casa 4 Ambientes Santa Irene A Estrenar,280000,5,2,169,Buenos Aires Interior,Lujan,2025-12-17,1657
Casa En  Venta  En Comarcas De Lujan,285000,4,3,216,Buenos Aires Interior,Lujan,2025-12-17,1319
Venta - Casa En Las Praderas,285000,8,3,235,Buenos Aires Interior,Lujan,2025-12-17,1213
Casa Venta 5 Amb Lujan Club Campo Santa Catalina 1,290000,5,3,134,Buenos Aires Interior,Lujan,2025-12-17,2164
Casa En Venta. Uf 210. Barrio Everlinks Golf & Country Club.,295000,5,3,185,Buenos Aires Interior,Lujan,2025-12-17,1595
"Casa En Venta. Uf 18. Barrio Santa Irene, Comarcas De Luján.",310000,6,3,400,Buenos Aires Interior,Lujan,2025-12-17,775
Casa En Comarcas De Luján San Roque,320000,5,3,206,Buenos Aires Interior,Lujan,2025-12-17,1553
Venta Casa En Barrio Club De Campo La Concepcion Lujan,338000,5,3,212,Buenos Aires Interior,Lujan,2025-12-17,1594
"Casa Comarcas De Lujan Venta , Barrio Santa Matilde",345000,5,4,302,Buenos Aires Interior,Lujan,2025-12-17,1142
"Casa A La Venta En Comarcas De Lujan, Barrio La Elina",350000,5,3,257,Buenos Aires Interior,Lujan,2025-12-17,1362
"Casa En Venta. Uf 197. Barrio La Elina, Comarcas De Luján.",350000,6,2,257,Buenos Aires Interior,Lujan,2025-12-17,1362
"Casa En Venta. Uf 16. Barrio San Roque, Comarcas De Luján.",390000,6,4,282,Buenos Aires Interior,Lujan,2025-12-17,1383
"Oportunidad!!! Gran Casa En Barrio Cerrado Con 5 Habitaciones, Dependencia 4 Cocheras Vidrios Dvh Loza Radiante Hogares Para Leños 10000 Metros De Parque Forestado",395000,8,5,479,Buenos Aires Interior,Lujan,2025-12-17,825
Casa En Venta En La Concepción Luján Zona Oeste,395000,5,4,375,Buenos Aires Interior,Lujan,2025-12-17,1053
Casa En Venta En Las Chacras De Open Door,400000,7,4,410,Buenos Aires Interior,Lujan,2025-12-17,976
"Casa  En Venta En Estancias Golf, Luján, G.b.a. Zona Oeste",545000,5,5,280,Buenos Aires Interior,Lujan,2025-12-17,1946
Casa En Venta Country La Concepcion De Lujan,550000,5,2,277,Buenos Aires Interior,Lujan,2025-12-17,1986
Casa Venta La Cañada Polo Club Open Door Lujan Moderna,650000,7,5,500,Buenos Aires Interior,Lujan,2025-12-17,1300
Casa En Venta En Comarcas De Luján,690000,6,4,460,Buenos Aires Interior,Lujan,2025-12-17,1500
Venta Casa En La Colina Villa De Campo | Vco Propiedades,880000,7,6,385,Buenos Aires Interior,Lujan,2025-12-17,2286
Casa En Venta Alejandro Korn Con Pileta,78000,3,2,130,Buenos Aires Interior,San Vicente,2025-12-17,600
Casa 6 Ambientes En Venta En San Vicente,135000,6,2,150,Buenos Aires Interior,San Vicente,2025-12-17,900
Venta Casa 5 Amb Piscina En Fincas Sporting,164900,5,4,226,Buenos Aires Interior,San Vicente,2025-12-17,730
"Venta De Casa 4 Ambientes En Campo Daromy, San Vicente",180000,4,2,124,Buenos Aires Interior,San Vicente,2025-12-17,1452
Casa En  Venta En San Vicente Centro,195000,5,2,170,Buenos Aires Interior,San Vicente,2025-12-17,1147
Venta Casa Pileta - Fincas De San Vicente Joven Permuta,209000,4,2,175,Buenos Aires Interior,San Vicente,2025-12-17,1194
Venta En Pozo Casa Pileta Fincas Joven Permuta Financiacion,219000,4,3,195,Buenos Aires Interior,San Vicente,2025-12-17,1123
Casa En Venta En Santa Rita Canning,219000,4,2,152,Buenos Aires Interior,San Vicente,2025-12-17,1441
Venta Casa 4 Ambientes A Estrenar Con Piscina Y Cocheras. Barrio San Lucas. San Vicente,222900,4,3,173,Buenos Aires Interior,San Vicente,2025-12-17,1288
Venta Casa Con Pileta - Fincas De San Vicente Joven,229000,4,3,195,Buenos Aires Interior,San Vicente,2025-12-17,1174
"Venta - Casa - 4 Ambientes, Cochera Y Pileta - Club De Campo San Lucas",230000,4,3,211,Buenos Aires Interior,San Vicente,2025-12-17,1090
Casa Venta Country San Lucas 4 Amb En San Vicente,244900,4,2,165,Buenos Aires Interior,San Vicente,2025-12-17,1484
Casa 5 Ambientes En Venta Lagos De San Eliseo,250000,5,2,177,Buenos Aires Interior,San Vicente,2025-12-17,1412
Casa En Venta En Lagos San Eliseo,254000,3,2,180,Buenos Aires Interior,San Vicente,2025-12-17,1411
Casa En Venta En Lagos De San Eliseo,254000,3,2,180,Buenos Aires Interior,San Vicente,2025-12-17,1411
Venta Casa 5 Ambientes Barrio Privado Santa Rita,264999,5,4,182,Buenos Aires Interior,San Vicente,2025-12-17,1456
Venta Casa 5 Ambientes Barrio Cerrado Malibu Canning,266000,5,3,228,Buenos Aires Interior,San Vicente,2025-12-17,1167
Venta De Casa En Barrio Santa Rita Canning,269000,5,3,190,Buenos Aires Interior,San Vicente,2025-12-17,1416
Casa En Venta - Barrio San Lucas - San Vicente,275000,6,2,200,Buenos Aires Interior,San Vicente,2025-12-17,1375
Casa En  Venta En Club De Campo Santa Rita - San Vicente,279000,4,2,157,Buenos Aires Interior,San Vicente,2025-12-17,1777
Casa 4 Ambientes En Venta Lagos De San Eliseo,279000,4,2,168,Buenos Aires Interior,San Vicente,2025-12-17,1661
Casa  6 Ambientes En Venta  Principado Con Pileta,280000,6,2,203,Buenos Aires Interior,San Vicente,2025-12-17,1379
Venta Casa 5 Ambientes Amoblada Santa Rita Canning,289999,5,4,182,Buenos Aires Interior,San Vicente,2025-12-17,1593
"Casa En  Fincas De San Vicente, Sector Golf.",300000,5,4,180,Buenos Aires Interior,San Vicente,2025-12-17,1667
Casa En Venta Barrio  Principado Canning,315000,5,4,191,Buenos Aires Interior,San Vicente,2025-12-17,1649
