id,price,rooms,bathrooms,square_meters,zone,city,price_per_m2
1,90000,3,1,112,Buenos Aires Interior,Lujan,804
2,115000,4,3,170,Buenos Aires Interior,Lujan,676
3,148000,5,2,140,Buenos Aires Interior,Lujan,1057
4,160000,4,2,210,Buenos Aires Interior,Lujan,762
5,175000,4,3,900,Buenos Aires Interior,Lujan,194
6,175000,4,2,164,Buenos Aires Interior,Lujan,1067
7,197000,4,2,180,Buenos Aires Interior,Lujan,1094
8,199000,5,4,176,Buenos Aires Interior,Lujan,1131
9,205000,5,2,143,Buenos Aires Interior,Lujan,1434
10,220000,4,3,167,Buenos Aires Interior,Lujan,1317
11,235000,5,4,181,Buenos Aires Interior,Lujan,1298
12,235000,5,3,190,Buenos Aires Interior,Lujan,1237
13,240000,4,2,154,Buenos Aires Interior,Lujan,1558
14,240000,4,2,168,Buenos Aires Interior,Lujan,1429
15,249000,5,3,200,Buenos Aires Interior,Lujan,1245
16,250000,3,3,160,Buenos Aires Interior,Lujan,1562
17,250000,5,3,176,Buenos Aires Interior,Lujan,1420
18,255000,5,2,300,Buenos Aires Interior,Lujan,850
19,260000,5,2,271,Buenos Aires Interior,Lujan,959
20,270000,4,3,390,Buenos Aires Interior,Lujan,692
21,279000,8,5,309,Buenos Aires Interior,Lujan,903
22,280000,5,2,169,Buenos Aires Interior,Lujan,1657
23,285000,4,3,216,Buenos Aires Interior,Lujan,1319
24,285000,8,3,235,Buenos Aires Interior,Lujan,1213
25,290000,5,3,134,Buenos Aires Interior,Lujan,2164
26,295000,5,3,185,Buenos Aires Interior,Lujan,1595
27,310000,6,3,400,Buenos Aires Interior,Lujan,775
28,320000,5,3,206,Buenos Aires Interior,Lujan,1553
29,338000,5,3,212,Buenos Aires Interior,Lujan,1594
30,345000,5,4,302,Buenos Aires Interior,Lujan,1142
31,350000,5,3,257,Buenos Aires Interior,Lujan,1362
32,350000,6,2,257,Buenos Aires Interior,Lujan,1362
33,390000,6,4,282,Buenos Aires Interior,Lujan,1383
34,395000,8,5,479,Buenos Aires Interior,Lujan,825
35,395000,5,4,375,Buenos Aires Interior,Lujan,1053
36,400000,7,4,410,Buenos Aires Interior,Lujan,976
37,545000,5,5,280,Buenos Aires Interior,Lujan,1946
38,550000,5,2,277,Buenos Aires Interior,Lujan,1986
39,650000,7,5,500,Buenos Aires Interior,Lujan,1300
40,690000,6,4,460,Buenos Aires Interior,Lujan,1500
41,880000,7,6,385,Buenos Aires Interior,Lujan,2286
42,78000,3,2,130,Buenos Aires Interior,San Vicente,600
43,135000,6,2,150,Buenos Aires Interior,San Vicente,900
44,164900,5,4,226,Buenos Aires Interior,San Vicente,730
45,180000,4,2,124,Buenos Aires Interior,San Vicente,1452
46,195000,5,2,170,Buenos Aires Interior,San Vicente,1147
47,209000,4,2,175,Buenos Aires Interior,San Vicente,1194
48,219000,4,3,195,Buenos Aires Interior,San Vicente,1123
49,219000,4,2,152,Buenos Aires Interior,San Vicente,1441
50,222900,4,3,173,Buenos Aires Interior,San Vicente,1288
51,229000,4,3,195,Buenos Aires Interior,San Vicente,1174
52,230000,4,3,211,Buenos Aires Interior,San Vicente,1090
53,244900,4,2,165,Buenos Aires Interior,San Vicente,1484
54,250000,5,2,177,Buenos Aires Interior,San Vicente,1412
55,254000,3,2,180,Buenos Aires Interior,San Vicente,1411
56,254000,3,2,180,Buenos Aires Interior,San Vicente,1411
57,264999,5,4,182,Buenos Aires Interior,San Vicente,1456
58,266000,5,3,228,Buenos Aires Interior,San Vicente,1167
59,269000,5,3,190,Buenos Aires Interior,San Vicente,1416
60,275000,6,2,200,Buenos Aires Interior,San Vicente,1375
61,279000,4,2,157,Buenos Aires Interior,San Vicente,1777
62,279000,4,2,168,Buenos Aires Interior,San Vicente,1661
63,280000,6,2,203,Buenos Aires Interior,San Vicente,1379
64,289999,5,4,182,Buenos Aires Interior,San Vicente,1593
65,300000,5,4,180,Buenos Aires Interior,San Vicente,1667
66,315000,5,4,191,Buenos Aires Interior,San Vicente,1649
67,319999,4,4,240,Buenos Aires Interior,San Vicente,1333
68,320000,5,3,300,Buenos Aires Interior,San Vicente,1067
69,325000,4,3,265,Buenos Aires Interior,San Vicente,1226
70,335000,6,2,177,Buenos Aires Interior,San Vicente,1893
71,349000,5,4,230,Buenos Aires Interior,San Vicente,1517
72,389000,5,3,190,Buenos Aires Interior,San Vicente,2047
73,435000,5,3,290,Buenos Aires Interior,San Vicente,1500
74,450000,7,2,335,Buenos Aires Interior,San Vicente,1343
75,465000,6,3,214,Buenos Aires Interior,San Vicente,2173
76,489000,5,3,375,Buenos Aires Interior,San Vicente,1304
77,490000,5,4,335,Buenos Aires Interior,San Vicente,1463
78,545000,5,4,457,Buenos Aires Interior,San Vicente,1193
79,585000,6,4,330,Buenos Aires Interior,San Vicente,1773
80,595000,9,7,530,Buenos Aires Interior,San Vicente,1123
81,749000,6,4,552,Buenos Aires Interior,San Vicente,1357
82,750000,6,4,460,Buenos Aires Interior,San Vicente,1630
83,890000,4,4,400,Buenos Aires Interior,San Vicente,2225
84,160000,4,2,123,Costa Atlántica,Costa Esmeralda,1301
85,175000,3,2,144,Costa Atlántica,Costa Esmeralda,1215
86,180000,5,3,150,Costa Atlántica,Costa Esmeralda,1200
87,195000,6,3,144,Costa Atlántica,Costa Esmeralda,1354
88,195000,4,2,140,Costa Atlántica,Costa Esmeralda,1393
89,199000,4,2,148,Costa Atlántica,Costa Esmeralda,1345
90,205000,4,2,150,Costa Atlántica,Costa Esmeralda,1367
91,220000,5,2,185,Costa Atlántica,Costa Esmeralda,1189
