Ciudad,Propiedades
GBA Norte - San Isidro,48
GBA Sur - Ezeiza,48
Costa Atlántica - Mar de Ajo,48
GBA Sur - Avellaneda,48
Costa Atlántica - Pinamar,48
GBA Sur - Quilmes,48
GBA Norte - San Miguel,47
Costa Atlántica - Villa Gesell,47
Costa Atlántica - Mar del Plata,47
Córdoba - Punilla,47
GBA Norte - Vicente Lopez,47
GBA Norte - General San Martin,47
GBA Oeste - Hurlingham,47
GBA Norte - San Fernando,47
GBA Oeste - Moron,47
GBA Sur - Berazategui,47
Córdoba - Colon,47
Costa Atlántica - Mar del Tuyu,47
Córdoba - Villa Carlos Paz,47
GBA Sur - Lanus,47
GBA Oeste - Tres de Febrero,47
GBA Oeste - Castelar,47
GBA Oeste - Ituzaingo,47
Córdoba - Córdoba,46
GBA Oeste - La Matanza,46
GBA Sur - La Plata,46
GBA Sur - Almirante Brown,46
GBA Oeste - Merlo,46
GBA Sur - Lomas de Zamora,46
GBA Sur - Esteban Echeverria,45
Córdoba - Santa Maria,44
Buenos Aires Interior - San Vicente,44
Costa Atlántica - Costa Esmeralda,44
GBA Oeste - Moreno,44
GBA Norte - Tigre,43
Buenos Aires Interior - Lujan,43
GBA Norte - Malvinas Argentina,42
GBA Norte - Pilar,40
GBA Norte - Escobar,38
